Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,TotalSpending,NumPurchases,cluster
Graduation,Single,58138.0,0,0,58,3,8,10,4,7,0,0,0,0,0,0,1,68,1617,25,2
Graduation,Single,46344.0,1,1,38,2,1,1,2,5,0,0,0,0,0,0,0,71,27,6,1
Graduation,Together,71613.0,0,0,26,1,8,2,10,4,0,0,0,0,0,0,0,60,776,21,2
Graduation,Together,26646.0,1,0,26,2,2,0,4,6,0,0,0,0,0,0,0,41,53,8,1
PhD,Married,58293.0,1,0,94,5,5,3,6,5,0,0,0,0,0,0,0,44,422,19,0
Master,Together,62513.0,0,1,16,2,6,4,10,6,0,0,0,0,0,0,0,58,716,22,0
Graduation,Divorced,55635.0,0,1,34,4,7,3,7,6,0,0,0,0,0,0,0,54,590,21,0
PhD,Married,33454.0,1,0,32,2,4,0,4,8,0,0,0,0,0,0,0,40,169,10,1
PhD,Together,30351.0,1,0,19,1,3,0,2,9,0,0,0,0,0,0,1,51,46,6,1
PhD,Together,5648.0,1,1,68,1,1,0,0,20,1,0,0,0,0,0,0,75,49,2,1
Basic,Married,7500.0,0,0,59,1,2,0,3,8,0,0,0,0,0,0,0,49,61,6,1
Graduation,Divorced,63033.0,0,0,82,1,3,4,8,2,0,0,0,0,0,0,0,66,1102,16,2
Master,Divorced,59354.0,1,1,53,3,6,1,5,6,0,0,0,0,0,0,0,73,310,15,0
Graduation,Married,17323.0,0,0,38,1,1,0,3,8,0,0,0,0,0,0,0,38,46,5,1
PhD,Single,82800.0,0,0,23,1,7,6,12,3,0,0,1,1,0,0,1,79,1315,26,2
Graduation,Married,41850.0,1,1,51,3,3,0,3,8,0,0,0,0,0,0,0,45,96,9,1
Graduation,Together,37760.0,0,0,20,2,4,1,6,7,0,0,0,0,0,0,0,79,317,13,1
Master,Married,76995.0,0,1,91,2,11,4,9,5,0,0,0,1,0,0,0,76,1782,26,2
2n Cycle,Single,33812.0,1,0,86,2,2,1,3,6,0,0,0,0,0,0,0,40,133,8,1
Graduation,Married,37040.0,0,0,41,1,4,2,5,8,0,0,0,0,0,0,0,43,316,12,1
Graduation,Married,2447.0,1,0,42,15,0,28,0,1,0,0,0,0,0,0,0,46,1730,43,0
PhD,Married,58607.0,0,1,63,3,2,3,9,8,0,1,0,0,0,0,0,76,972,17,0
PhD,Married,65324.0,0,1,0,3,6,2,9,4,0,0,0,0,0,0,0,71,544,20,0
Graduation,Together,40689.0,0,1,69,7,7,1,5,8,0,0,0,0,0,0,0,74,444,20,0
Graduation,Single,18589.0,0,0,89,2,2,1,3,7,0,0,0,0,0,0,0,56,75,8,1
Graduation,Married,53359.0,1,1,4,4,5,1,4,7,0,0,0,0,0,0,0,49,257,14,1
Graduation,Married,38360.0,1,0,26,2,2,1,4,3,0,0,0,0,0,0,0,36,131,9,1
PhD,Married,84618.0,0,0,96,1,6,9,10,2,0,0,1,0,0,0,0,60,1672,26,2
Master,Divorced,10979.0,0,0,34,2,3,0,3,5,0,0,0,0,0,0,0,36,30,8,1
Master,Together,38620.0,0,0,56,1,2,5,3,3,0,0,0,0,0,0,0,62,318,11,1
Graduation,Together,40548.0,0,1,31,2,2,1,4,5,0,1,0,0,0,0,0,55,120,9,1
PhD,Divorced,46610.0,0,2,8,6,4,1,6,6,0,0,0,0,0,0,1,73,302,17,0
Master,Married,68657.0,0,0,4,1,3,5,9,7,0,0,0,0,0,0,0,79,1196,18,2
Master,Single,49389.0,1,1,55,1,2,0,3,7,0,0,0,0,0,0,0,74,65,6,1
PhD,Married,67353.0,0,1,37,5,5,6,12,2,0,0,0,0,0,0,0,55,913,28,2
2n Cycle,Married,23718.0,1,0,76,3,3,1,2,7,0,0,0,0,0,0,0,49,81,9,1
Graduation,Widow,42429.0,0,1,99,2,1,1,3,5,0,0,0,0,0,0,0,52,67,7,1
PhD,Divorced,48948.0,0,0,53,2,7,10,5,6,1,0,0,0,0,0,1,82,902,24,2
Graduation,Married,80011.0,0,1,3,2,8,6,5,4,0,0,0,0,0,0,0,45,1395,21,2
Master,Married,20559.0,1,0,88,2,2,0,3,8,0,0,0,0,0,0,0,40,53,7,1
Graduation,Together,21994.0,0,1,4,1,0,0,3,5,0,0,0,0,0,0,0,68,22,4,1
